recover,"to get back, retrieve"
reportedly,"supposedly, rumored"
shift,"SWITCH, change in position"
endure,suffer
oblivious,terlupa
dignitary,"notable, a very important or famous"
crucial,"critical, vital, indespensable"
elude,"evade, to escape in a tricky way"
evident,"apparent, easy to see, jelas"
exhaust ,"very thorough, deplete"
extensive,"large in area or number, to make longer, comprehensive"
grave,kuburan
engrave,mengukir
facet,element
inaccesible,"remote, sth that cannot be reached or communicated with"
obviously,"evidently, easy to understand way"
predictably,"expectedly, in a way that foretells future events"
suitable,apparopiate
deplete,"mengkosongkan, menghabiskan"
preference,pilihan
reference,referensi
clutter,kekusutan
substantial,"kokoh, penting, besar"
impose,memaksakan
unanimously,dengan suara bulat
staple,bahan pokok
covet,"dambaan, iri hati. Covet position"
feign,"to pretend, simulate, make believe, berpura2"
spacious,expansive
ample,"sufficient,"
avoid,"avert, to miss"
equitable,even
fertile,rich
freshly,recently
function,role
indiscriminate,"arbitrary, unplanned, not chosen carefully"
withstand,"survive, to persist"
durable,"sturdy, sth that last a long time"
favor,"support, to prever, advantageous"
attain,gain
generate,create
halt,stop
harbor,shelter
baffle,"mysterious, confusing, mengherankan"
promote,"boost, to encourage"
presumably,"agaknya, kiranya, supposedly"
sturdy,"durable, kokoh, tegap"
tenacious,"persistent, refusing to give up"
dispense,distribute
worthed,worthwile
elusive,sukar dipahami
harbor,"conceal, to give protection, not to express a desire or opinion, usually bad"
conscientious,"showing serious purpose, one works carefully and with enthusiasm, meticulous"
convey,"communicate, to make something know to others"
encompass,"to surround completely, to envelop, include, encircle completely, involve"
heighten,intensify to cause to become greater
inadvertently,"ceroboh, careless, by accident, unexpectedly"
inevitable,unavoidable
infancy,"beginning, commencement"
retrieve,"recover, to find and bring back"
unlikely,"not probable, impossible, doubtful"
unwarrant,"w/o good reason or cause, inappropiate, unjustified, gak dijamin deh"
warrant,"menjamin, surat perintah, menjamin keabsahan, memerlukan"
zenith,"the highest point, apex"
oratorical,kecakapan pidato
popularize,"promote, simplify"
agitate,"to shake or move, to cause worry, disturb"
confidential,"secret, calssified, undisclosed,covert, underhand, furtive"
elated,delighted
discreetly,"in a carefull, polite manner, cautiously"
steadily,"slowly but surely, gradually"
drought,kemarau
deliberately,dengan sengaja
unanimously,dengan suara bulat
instantly,"immediately, abruptly"
inherent,"melekat, intrinsic"
intrinsic,inherent
inundate,"overwhelming, to flood"
nominal,"she was nominally succesful as an actress. (In form but not in substance/hakekat), kata benda"
presumably,"reported but not confirmed, supposedly"
upset,"kb. 1 terbaliknya (of a boat). 2 gangguan. 3 Sport : kekalahan yang tak disangka-sangka.  -kkt. (upset) 1 menggangu, merusak (nerves, plans). 2 menumbangkan (a dish or pan). 3 Sport: mengalahkan. 4 mengacaukan."
absurd,"clearly false, w/o reaseon, ridiculous"
abuse,"misuse, the act of using or treating things in an incorrect way"
allocation,"a share, distribution, "
fallacious,"incorrect, having errors"
feasible,"able to be done, possible"
limber,flexible
narrow,"dankal, limited, thin. The canal was exteremely narrow. The driver narrowly escaped injury when his car went off the road"
narrowly,nyaris
robust,"energetic, showing good health"
preconception,"bias, an opinion formed in advance w/o experience or knowledge of sth"
notion," 1 dugaan. 2 ide, gagasan. 3 pikiran. 4 pikiran, maksud. -nations j. barang kelontong."
steady,"firm in a fixed postion, dependable"
swift,"quick, fast"
means,method
shortage,lack
antiquated,"jadul, old-fashioned, outmoded"
coheren,"well reasoned, ideas that are clearly presented, logical. There was a cohesive feeling among the new works. It was a well-balanced, coherent presentation"
develop,"evolve, to become more complete"
fabricate,"invent, to make up, usually with an intent to fool or trick ,to lie. The executive fabricated the story about the merger. His alibi is the weakest fabrication I have ever heard"
probe,investigation
typically,"normally, usually, commonly"
treaty,"perjanjian, pakta"
notion,concept
novel,"new, uncommon, original"
opposition,resistance
"relate, ","communivate, to show a connection, narrate"
suspect,"to think that something is true, but no proof. Speculate"
unbiased,"objective with no preconceptions, objective"
varied,diverse
accentuate,"emphasize, to highlight"
disguise,"conceal, hide"
nevertheless,"nonetheless, in spite of that. His project was flawed; nevertheless it won second prize"
occasionally,sometimes. Sometimes vs sometime
omit,"neglect, not include. He inadvertently omitted some important data from the report"
encompass,include
outlandish,"strange, bizarre, byond accepted norms."
den,"sarang, ruang kecil u/ baca"
overcome,"to defeat, fight with success, conquer"
partially,"some what, a part of the whole, incomplete"
unabridged,complete
pass,to accept formally by VOTE. Approve
potray,"depict, to represent"
submit,"propose, to turn in, offer for evaluation"
submission,"ketundukan, kepatuhan, penundukan secara sukarela"
conspicuous,"menyolok mata, obvious"
oblivious,terlupa
renowned,"terkenal, termahsyur"
elated,delighted
partisan,"prasangka, bias"
decline,"to refuse, decrease, from good to bad"
philanthropic,"humanitarian, dermawan"
philanderer,pemikat wanita
placid,"quiet, not easily upset(kacau), calm"
scenic,concerning pleasant natural surrondings. Pisturesque
rural,pedesaan
urban,perkotaan
suburbia,pinggiran kota. Ada lagi kata2 yang bilang sesuatu jelek di Batman Begins pas llagi di suburbia lagi mau ketemu orang jahat stlh keluar dr penjara dianter si cewekada tuh
joint,daerah buangan
nook,tempat kesukaan
outskirt,daerah pinggiran
county,"wilayah, kabupaten"
borough,"kota kecil, sektor , wilayah"
superficial,"not deep, shallow. Dangkal"
blaze,"terik, berkobar."
vanish,disappear
omit,"neglect, not include. He inadvertently omitted some important data from the report"
notion,"dugaan, suspect. Belief, suspect. Idea"
account,story
archaic,ancient
hasten,accelerate
hue,color
idle,"not moving, inactive"
expound,menjelaskan secara terperinci
intricate,"complex, having many parts, finely detailed"
magnitude-magnificient,"great size, or importance, to increase"
oblige,"require, to have to do something, compe;"
overlook,"to ignore or neglect, disregard."
poll,"survey, questionnaire, a vote of public opinion"
practical,"functional, convenient or effective"
predominant,principal
prompt,"induce, to cause sth to happen, to do quickly, to be on time. Membisikkan, menyarankan"
plea,"permohonan, appealing"
on time,promptness
compel,"obliged, to make somthng happen by necessity"
formidable,"overwhelming, difficult, causing worry or fear, hebat, berat"
overwhelming,berlimpahan
intrusive,"annoying, not desired by anothers. Aggravating. Bothersome"
prone,inclined to
incline,cenderung
prophetic,correct telling about future events
proportions,"dimensions, compared to another object"
readily,"freely, easily, willingly"
ready,siap
reluctantly,hesitatingly
renowned,prominence
concession,"kelonggaran, frachise, reduction, allowance, compromise"
triumph,"achievement, a victory, a success"
periodically,sometimes
undertake,"1 menjalankan, melakukan (a job). 2 mengerjakan. 3 berusaha. -undertaking kb. 1 perbuatan, usaha. 2 pengusahaan. 3 perusahaan pemakaman."
conceited,"congkak, sombong"
resemblance,kemiripan
remnant,"sisa, bekas"
nourishment,makanan
renowned,prominence
"affordable, feasible","able to be done, usually refers to sth you can do w/o damage or loss, economical"
discernible,"detectable, easily seen, noticably, conspiciously"
flourishing,"thriving, active and growing"
maintain,preserve
mediocre,average
interim,sementara
peculiar,"strange, ridiculous"
potent,"very strong, powerful"
remarkable,"exceptional, worthy of mention"
dispersed,scattered
solid,"steady, having good quality"
somewhat,"a little, slight"
tedious,"long and tiring, monotonous"
improperly,inappropriately
impulsively,"blutteredly, acting without thinking, capriciously"
infrequently,rarely
isolated,secluded
overtly,openly
readily,"freely, easily, willingly"
profoundly,"in a deep way, showing deep knowledge of a subject, significantly"
subsequently,"following, coming after sth, afterwards"
unmistakable,"clearly able to be determined, indisputable"
beneficial,advantageous
typically,commonly
exemplify,"symbolize, to give an example"
gratifying,"showing thanks, satisfying"
meticulous,conscientious
legitimate,"reasonable, lawful, authentic"
particular,spesific
ridge,"crest, the top of a mountain reange, a raiesed part of any surface"
span,"cover, the length of time or distance from one limit to the other"
spontaneous,"instinctive, unplanned"
joint,daerah buangan
jointly,bersama2
striking,remarkable
aptly,"likely, having a tendency to do sth, appropriately."
remark,"ucapan, berkata, kata-kata"
remarkable,"worthy of mention, exceptional"
ingredients,elements
marvel,"wonder, something that surprises or impresses"
marvellous,mengagumkan
surprise,"mengagetkan orang,"
assesable,measurable
moderate,"not to much, not to little"
presumably,"supposedly, believed or accepted. According to report or hearsay"
sustained,"consistent, continuing in a constant way"
synthesis,"combination, mixing separate things"
tangible,"concrete, real, that which can be felt"
tightly,"firmly, being fixed in place, close, leaving no freedom"
amusement,"diversion, something that holds interest and is enjoyable"
conceive,"menyusun, membayangkan"
conceivable, mungkin. 2 yang dapat dipikirkan. -conceivably kk. menurut pikiran.
aggravating,"making worse, annoying, irritating. The aggravating delay was caused by road reapirs. The shortage of work aggravated the crisis in small town"
shortage,kekurangan
curative,"healing, beaing able to restore to good condiiton"
debilitating,weakening. The patient's debility restricted to the room
deplete,"exhaust, use, to reduce greatly"
perceive,"observe, to sense, to become aware of. We perceieve major differences between the two political parties. "
porpoise,lumba2
tranquility,"calm, quietness, peacefulness"
profound,"dalam , amat sangat besar. "
profoundly,sangat
underestimated,miscalculated
assimilate,"to become a part of, incorporate"
assortment,"a variety, selection. You have an assortment of elective courses from which to choose. He bought a box of assorted books at the book fair"
caliber,"the standard of, the degree of goodness, quality"
condensed,"summarized, shortened, merged, made smaller. Try to condense the two capters into one"
contradictory,inconsistent.declared wrong. Not agreeing with the facts
precious,cherished
prominent,renowned
requisite,needed for a spesific purpose
unravel,"to organize, to make clear, separate"
unravel,"terurai, terlepas2"
rave,hangat. Luar biasa. GILA!
convince,persuade
endure,persevere
forfeit,"relinquish. To give up. To have sth taken away, usually be regulation"
precarious,"hazardous, not safe"
severe,"extreme, harmful, intense"
sporadic,"erratic, irregular"
superior,exceptional
wanton,"senseless, done w/0 thought or consideration.impulsively"
widespread,extensive. Found everywhere.contagious
witticism,"humor, a joke"
woo,merayu
eradication ,pembasmian
contend,"berpendapat, melawan"
profoundly,"dalam , amat sangat besar. "
sharply,dengan cepat
radiant,"to all direction, bright light"
prolific,"prolific 1 banyak hasil. p. writer pengarang yang banyak karyanya. 2 subur, mudah berkembangbiak (of animals)."
assesable,measurable
debilitating,"decline, weakening"
aggravating,"irritate. aggravating ks. 1 (yang) menjengkelkan. 2 mengganggu kkt. mengganggu, mendongkol(kan), menjengkelkan. His gestures i. me Gerak-geriknya mengganggu saya. -irritating ks. 1 menjengkelkan, mengganggu, membuat perih. 2 memedihkan. i. to the eyes memedihkan bagi mata."
diversion,amusement
diverse,"varied, assorted"
inundate,membanjiri
observe,perceieve
assertion,penyataan tegas
assimilate,"incorporate, join, merge"
weave,"pile, texture, interlace, zigzag, invent"
sporadic,"erratic, irregular"
predominant,"berkuasa, utama"
ingenuity,cleverness
aptitude,bakat
behalf,kepentingan
confine,membatasi
waver,"hesitate, reluctant"
celebrated,renowned
contemporary,"modern, jaman sekarang,, current"
untoward,tak baik tak menyenangkan
astounding,astonishing
bear,to carry to yield
transitory,"mirage, fana"
extreme,"great, dangerous, "
extrimity, kebutuhan yang sangat.
vestige,remnant
evidence,evedence
goose,angsa
goosebump,merinding
pouch ,kantong
fluttering,"kibaran, mengipas"
susceptible,rentan
vulnerable,rentan kena
endotherm,animal yang menjaga temperatur tubuh
outcome,hasil
prudent,"bijaksana, hati2"
prudential,"bijaksana, hati2"
impair,merusak
parting,perpisahan
Affection,
Throughout my career,
Permissions,
Altruism,
sabbatical year as visiting,
research distinguish,
include ubiquitous computing,
pervasive Syestems,
lawful interception,
precedence-based services on the Internet,
common pitfalls,lubang jatuh
concatenated,menggabungkan
lever,"pengangkat, pengungkit"
leverage,pengungkitan
prevail,"triumoh, succeed, conquer"
overhead,"biaya, pengeluaran tambahan,atas"
coexist,hidup bersama
proprietary,sebagai pemilik
invokes,melibatkan
composition,karangan
consequently,"berikut, sebagai akibat, so thus, therefore, accordingly, subsequently, as a result"
composed,"menggubah, menyusun. Tenang sabar."
relief,"keringanan pembebasan, pertolongan"
comprise,"include, encompass, contain, cover, embrace, involve, consist of"
resemble,"look like, be similar o, be like, bring to mid"
overall,"general, total, whole, inclusive"
spokes that radiate out of wheel,jari2 yang 
tributaries,anak sungai
variable,berubah2
stream,aliran
bed,dasar
stream beds,aliran yang di dasar
deprive,"divest, take away"
rob,deny
remove,deprive
dispossess,mencabut hak milik rumah
band,"kumpulan, pita"
alternate,berganti-gantian
envisioning,memimpikan
strew,"menaburkan, menaburi"
pigments,zat warna
aspiring,bercita-cita tinggi
fairly,justly
hone,"improve, mengasah"
homage,penghormatan
marble," 1 marmer, pualam. 2 kelereng, keneker, gundu."
preserve,"cagar ,memelihara, conserve"
cited,mentioned
conceivable,mungkin
disposal,"penyelesaian, pembuangan, clearence"
retention,"holding, retaining"
harken,"mendengarkan, memperingatkan kepada. In a way, it harkens back to the beginning of art itself"
overwhelming,berlimpahan
overwhelmed,kewalahan/ gembira meluap2
abridged,shortened
unabridged,lengkap
rationalization,"reason, explanation, reasoning, excuse"
abate,mereda
bolster,"mendukung, endorse"
burgeon,"sukses, thrive"
depriving,mencabut menghilangkan
anxiety,"worry, nervousness"
radical,"fundamental, essential, extreme, pervasive"
departure,"venture, leaving, parting, difference, variation, novelty, divergence, change"
holdup,penghadangan
twofold,double
stride,"pace, step, langkah"
astride,mengangkang
unfolding,membentangkan
accordance,sesuai dengan. Berkenaan dengan
timber,"kayu, lumber"
long the preserve,
elicit,"memperoleh, mendatangkan, extract"
blasting,meledakkan
rugged,"tidak datar, kasar. Abrasive"
terrain,"dataran, lapangan"
vicinity,around
abate,mengurangi
bane,terkutuk
stiff,"Sl.: mayat. -ks. 1 kaku (collar, fabric). 2 keras, bersikeras, kuat, gigih. 3 berat. 4 Inf.: tinggi (price). 5 kencang (breeze). 6 sulit. 7 kental. 8 ketat. (of lock). 9 amat, sekali. stiff-backet ks. bersandaran keras (chair)."
conviction,pendirian
convict,narapidana
astute,vibrant
vibrant,astute
flocked,berkumpul
touched off,memicu
endeavor,attempt
tempt,menggoda
shed,discard
obstruct,blocked
unsettle,"menggangu ketenangan, menggoncang, tidak tentu/pasti, berubah2"
convenient,"baik sekali tepat, sesuai, cocok, tidak menyusahkan"
commisioner,komisaris
ward off ,"menangkal, menangkis"
subarctic,
annex,mencaplok
frontier,"batas, border garis perbatasan"
spruce,cemara
fir,cemara
cedar,pohon cedar
prairie,padang rumput tanpa pohon
usher,"escort, diantar "
ushered in,diantar didalam
dispense,"distribute, membagikan"
intended,berniat
thereby,dengan cara demikian
foundry,penaungan logam
mill,penggilingan
urge,"keinginan, dorongan"
earmarked,"ciri2, diperuntukkan untuk"
incentive,"dorongan, perangsang, imbalan"
feud,permusuhan
limber,flexible
lumber,"kayu, timber"
excavate,menggali
susceptible,"vulnerable, prone"
profoundly,"deept, thoroughly"
defect,"impair, damage, prejudice, ruin, blight"
contempt,jijik hina rendah
grieving,berduka cita
commend,menghargai
cutting-edge,terdepan
Fair shot,chance
far cry,very different
for good,forever
shrink,mengecil
shed,"discard, to give out"
pin-point,menunjukkan dengan tepat
paraphrasing,menafsirkan
emerging,muncul
marsupial,binatang berkantung
buckle down,striving
infidelity,ketidak setiaan
furious,sangat marah
complacency, (j. -cies) kepuasan dengan diri sendiri.
to turn up,to arrive
out of the blue,unexpectedly
haze,"haze kb. kabur. -kkt. memperlakukan mahasiswa-mahasiswa baru sewenang-sewenang, memperplonco. -hazing kb. perlakuan sewenang-wenang terhadap mahasiswa baru, perpeloncoan, pemapraman."
prior to,sebelum
outrageous,"menyakitkan hati, memalukan (of conduct). 2 kasar, kotor, tak patit (of language). 3 menghina. -"
outrageously,"outrageously kk. sangat, terlalu. o. expensive sangat/terlampau mahal."
selfexplanatory,cukup jelas
indefinitely,"dengan tak terbatas, untuk jangka waktu tidak terbatas."
indefinite,tidak tentu
prevalent,umum
proclaim,menyatakan
preschooler,yang belum masuk sekolah
out of fashion,
snatch,toy snatch
fairly,"honestly, legitimately, equitably"
impartially,"neutrally, disinterestedly, independently"
profound,"deep, radical. "
departure,removal
fierce,"intense, brutal, vicious, furious"
fleet,"armada, konvioi"
innate,natural
predisposition,"tendency, bias, inclination, suceptibility"
god,deity
exalt,"promote, praise, elevate, lift, revere"
aside,terlepas dari
coincided,"accorded, concurred, agreed, matched. Bertepatan, serupa"
in a sense,dalam beberapa hal
clergy,ministry
dissemination,"distribution, broadcasting, diffusion, spreading"
aqueduct,"channel, canal, pip, bridge"
duct,"vessel, tube, conduit"
concurrent,"simultaneous, agreeing, coexisting, contemporary"
throughout,seluruh
aristocracy,kaum ningrat
presumption,"belief, assumption, guess, deduction"
forged,"fake, false"
procrastinating,"suspend, adjourned"
subsidiary,"cabang, tambahan. -ks. tambahan. s. activity kegiatan tambahan."
spur,memacu
serendipity, kesanggupan untuk menemukan sesuatu keterangan dengan tak disengaja waktu mencari sesuatu yang lain.
precede,mendahului
augmentation,tambahan
perpetuate,
self-perpetuate,Having the power to renew oneself for an indefinite period of time. mengabadikan diri;
assimilate,"To consume and incorporate; to become similar. 1 memahamkan, mengerti, menerima. 2 mengasimilasi. 3 mencernakan. --kki. berasimilasi, menerima, menjadi sama."
amend,To change for the better. Hone
notion ,a belief
premature," gegabah (of on action). 2 sebelum waktunya, pradini (of a baby). 3 belum waktunya. -prematurely kk. sebelum waktunya."
bias,Leaning unfairly in one direction
erudite,highly educated
self-perpetuate,constantly existing ownself. Describing something that causes itself to continue to exist.
Vivid,"hidup, bersemangat"
grind,"drabness, bored, weary, tired of, fedup, tediousness"
cohort,"inherent, oengikut, "
amenity,sikap ramah tambah
precarious,bahaya
spine,tulang punggung
embodiement,perwujuan
intelligibility,"clearness, lucidity, simplicit, precision, transparency"
reverberation,echo
echos,reverberation
correlate,"salah satu dari dua benda yang satu sama lain ada hubungannya. -kkt. menghubungkan, menyambung."
covariance,
step-size,
prominent,terkenal
precaution,tindakan pencegahan
famine,severe hunger
presevere,to keep going
persistent,presevere
plunge,to go down suddenly
shrink,to become reduced in size
disposal,dispose does not occur without of
infinitesimal,small
gut,to empty
seep ,to pass slowly
petrify, kkt. (pertrified) membatu. -pertified ks. 1 yang membatu. p. forest hutan yang membatu. 2 amat ketakutan/kengerian. I was p. when... Aku hampir mati ketakutan ketika...
increment,penambahan
excrement,"excrement kb. kotoran badan, benda najis, benda-buang."
expeditiously ,hasten. Cepat.efisien
discretely,seperatedly
seep ,to pass slowly
permeate,"to pass through the hole, penetrate"
indisputable,unquestionable
intuitive,intuisi
intervene,ikut2an
recede,to move back or away from
In SUM ,MEANS TO SUMMARIZE
concede,"menyerahkan, allow, grant, admit, accept, give in, give up.antonym : deny"
size up,membentuk pendapat
step size,
aptly,inclined to
distinctly,clearly
erudite,highly educated
indiscreet, ks. tidak bijaksana/berhati-hati.
discreet,"ks. bijaksana, berhati-hati."
discrete, ks. 1 mempunyai ciri-ciri tersendiri. A book is a d. object Buku adalah benda tersendiri. 2 yang berlainan. An apple and a stone are d. objects Apel dan batu adalah benda yang berlainan.
extract,elicit
assail,to attack or criticize forcefully
contrary,opposite
impair,merusak
impartially,"neutrally, disinterestedly, independently, dengan seimbang"
partially,seimbang
suspicious,believing that sth is wrong
vigorous,giat penuh semangat
verdict,putusan orang bersalah
cycnically,disrespectfully
erode,"to become smaller, to wear away. Erosion"
grotesque,"fantastis, aneh sekali"
prevalent,"common, easy"
prevail,"menang, menguasai. Berlaku. Big influence"
unmask,"expose, reveal, unveil, debunk, bare"
invoke,to call on for support.  Melibatkan. Pray to. Bring into play
deliberate.,berbincang
aspire,cita-cita
yearning,cita-cita
bad,"evil, immoral, corrupt, wicked"
bergaul,"commune, associate"
inordinate,banyak
peer,noble
embody,mencontohkan
embodiment,"personification, perwujudan"
another,satu lagi tapi masih ada yang lain2nya 
the other,"satu , last one"
conceive,membayangkan
contagious,"menular, transmittable, spreadable"
infant,commencement
abdicate,turun tahta
tranquility,peacefull
retaliate,"membalas, revenge"
anxiety,kegelisahan
austerity,ketegangan
staggering,"jalan sempoyongan, jalan terhuyung-huyung. -kkt. 1 mengejutkan. 2 membingungkan. 3 menggemparkan, menggoncangkan. 4 mengatur bergiliran. -stagering ks. mengejutkan, mengagetkan (costs)."
aptly,benar2
apt,"tepat cocok, kena"
urging,menghimbau
avert,"avoid, "
careen,speed
anxiety,"kegugupan, kegelisahan. Austerity"
proclaim,menyatakan
woo,merayu
apart from,selain daripada
assertive,pernyataan tegas
cagier,"warier, guarded, "
interlocking,mempersambungkan satu sama lain. interlocking membership keanggotaan yang berpautan satu sama lain.
warier,lebih hati2
prelude,"introduction, prologue, preface, preamble"
inherent,melekat. Natural. Inborn. Innate
inherit,"receive, get,"
weave,"pile, zigzag, merge, interlace, texture, invent, fabricate, contrive"
conviction,"sentence, verdict,"
defile, 1 mengotorkan. 2 merusakkan. 3 mencemarkan.
grit,pasir. Menggertak
zing,"semangat. Vigor, vitality, dynamism"
odds,"rintangan. at o. bertengkar, berselisih. by all o.a) pasti, tanpa ragu-ragu. b). bagaimanapun. odds-on ks. yang mampunyai kemungkinan besar."
blatant,menyolok mata. Ribut terang2an
nudge,"sentuhan, dorongan, membangkitkan (memori)"
pompous,"muluk, bermegah diri, sombong, angkuh.conceited"
severe,"intense, brutal, vicious, furious"
unanimous,suara bulat
lunatic,gila
nook,sudut. Tempat kesukaan
abrasive,"kasar, kesar, alat penggosok"
ferocity,"ferocity kb. (j. -ties) keganasan, kebuasan, kegarangan. the f. of the wind keganasan angin."
fancy,"khayalan fantasi, tinggi,elaborate, expensive, posh, intricate, decorative, extravagant = boros, mewah"
muck,kotoran
clock,mengambil waktu
